Time (s),Grid Freq (Hz),RoCoF (Hz/s),Gear,Input Shaft RPM,Gen RPM,Torque (Nm),Target RPM,Injected Power (kW)
3.06,50.18406227634234,2.91905742975338,12,3000,1500.0,180.0,1500,28.274333882308138
3.0700000000000003,50.21288964578254,2.8407280354258546,12,3000,1500.0,180.0,1500,28.274333882308138
3.08,50.240876837050855,2.7511875853480916,12,3000,1500.0,180.0,1500,28.274333882308138
3.09,50.2679133974895,2.6507894547691535,12,3000,1500.0,180.0,1500,28.274333882308138
3.1,50.29389262614624,2.5399298692420302,12,3000,1500.0,180.0,1500,28.274333882308138
3.11,50.31871199487434,2.41904634090524,12,3000,1500.0,180.0,1500,28.274333882308138
3.12,50.34227355296434,2.2886159418181506,12,3000,1500.0,180.0,1500,28.274333882308138
3.13,50.364484313710705,2.1491534211776298,12,3000,1500.0,180.0,1500,28.274333882308138
3.14,50.385256621387896,2.0012091738383475,12,3000,1500.0,180.0,1500,28.274333882308138
3.15,50.40450849718747,1.8453670681555678,12,3000,1500.0,180.0,1500,28.274333882308138
3.16,50.42216396275101,1.6822421417231226,12,3000,1500.0,180.0,1500,28.274333882308138
3.17,50.438153340021934,1.5124781741000959,12,3000,1500.0,180.0,1500,28.274333882308138
3.18,50.45241352623301,1.3367451461096636,12,3000,1500.0,180.0,1500,28.274333882308138
3.19,50.46488824294413,1.155736595728385,12,3000,1500.0,180.0,1500,28.274333882308138
3.2,50.47552825814758,0.9701668810095043,12,3000,1500.0,180.0,1500,28.274333882308138
3.21,50.48429158056432,0.7807683608383797,12,3000,1500.0,180.0,1500,28.274333882308138
3.22,50.491143625364344,0.5882885046460729,12,3000,1500.0,180.0,1500,28.274333882308138
3.23,50.49605735065724,0.3934869424895737,12,3000,1500.0,180.0,1500,28.274333882308138
3.24,50.499013364214136,0.19713246713806143,12,3000,1500.0,180.0,1500,28.274333882308138
3.25,50.5,0.0,12,3000,1500.0,180.0,1500,28.274333882308138
3.2600000000000002,50.499013364214136,-0.19713246713806143,6,3000,1586.5384615384617,310.90909090909093,1500,51.655033054216794
3.27,50.49605735065724,-0.3934869424895737,5,3000,1601.9417475728155,332.72727272727275,1500,55.8166461754303
3.2800000000000002,50.491143625364344,-0.5882885046460729,4,3000,1617.6470588235295,354.54545454545456,1500,60.05985955392252
3.29,50.48429158056432,-0.7807683608383797,3,3000,1633.6633663366335,376.3636363636364,1500,64.3870969597116
3.3000000000000003,50.47552825814758,-0.9701668810095043,2,3000,1650.0,398.1818181818182,1500,68.80087911361647
3.31,50.46488824294413,-1.155736595728385,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.3200000000000003,50.45241352623301,-1.3367451461096636,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.33,50.438153340021934,-1.5124781741000959,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.34,50.42216396275101,-1.6822421417231226,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.35,50.40450849718747,-1.8453670681555678,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.36,50.385256621387896,-2.0012091738383475,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.37,50.364484313710705,-2.1491534211776298,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.38,50.34227355296434,-2.2886159418181506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.39,50.31871199487434,-2.41904634090524,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.4,50.29389262614624,-2.5399298692420302,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.41,50.2679133974895,-2.6507894547691535,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
